;sc;MSC;COU;HAK;BAR;TRU;BUT;FRE;VIL;DIN;RSC;WUR;ZON;VER;SAL;FIS;HEI;IRV;DLR;HER;ALE;MAZ;GEN
0;0;2;1;3;4;5;6;9;7;10;8;12;11;14;16;19;15;13;17;22;18;21;20
1;0;2;1;3;4;22;21;6;5;9;7;12;8;10;15;17;13;11;14;20;16;19;18
2;0;2;1;3;4;22;21;6;5;9;7;12;8;10;15;18;14;11;13;20;16;19;17
3;0;2;1;3;4;22;21;6;5;9;7;13;8;10;15;17;14;11;12;19;20;18;16
4;0;2;1;3;4;22;21;6;5;9;7;13;8;10;14;16;19;11;12;18;20;17;15
5;0;2;1;3;15;22;19;5;4;8;6;12;7;9;17;20;18;11;10;16;21;14;13
6;0;1;2;7;11;20;18;4;3;5;10;16;13;12;17;22;19;14;6;15;21;9;8
7;0;1;5;6;9;20;16;2;7;3;10;19;13;11;17;22;18;15;8;12;21;4;14
8;0;1;15;5;7;19;13;2;6;3;8;20;12;9;17;22;18;14;11;10;21;4;16
9;0;1;16;5;7;19;11;2;6;3;8;21;12;9;17;22;18;14;13;10;20;4;15
10;0;1;16;5;8;19;11;2;6;3;7;21;13;9;17;22;18;14;12;10;20;4;15
11;0;1;16;4;8;22;11;2;7;5;6;20;13;9;17;21;18;14;12;10;19;3;15
12;0;1;16;4;9;ab;11;2;7;6;5;20;13;8;17;21;18;14;12;10;19;3;15
13;0;1;16;3;9;ab;8;2;6;5;4;20;12;7;17;21;19;13;11;10;18;15;14
14;0;1;14;2;8;ab;ab;4;7;5;3;19;11;6;17;20;18;12;10;9;15;16;13
15;0;1;14;2;9;ab;ab;4;7;5;3;19;11;6;16;20;18;12;10;8;15;17;13
16;0;1;14;2;9;ab;ab;4;8;6;3;19;12;5;16;20;17;11;10;7;15;18;13
17;0;1;14;2;9;ab;ab;4;7;8;3;18;12;5;16;20;17;11;10;6;15;19;13
18;0;1;14;2;8;ab;ab;4;7;9;3;17;12;5;ab;19;16;10;11;6;15;18;13
19;0;1;14;2;8;ab;ab;4;7;9;3;17;12;5;ab;19;16;10;11;6;15;18;13
20;0;1;13;2;8;ab;ab;4;7;9;3;17;12;5;ab;19;16;11;10;6;15;18;14
21;0;1;13;2;8;ab;ab;4;7;9;3;17;12;5;ab;19;16;11;10;6;15;18;14
22;0;1;12;2;8;ab;ab;4;7;9;3;17;13;5;ab;19;16;11;10;6;15;18;14
23;0;1;12;2;8;ab;ab;4;7;9;3;17;13;5;ab;19;16;11;10;6;15;18;14
24;0;1;12;2;8;ab;ab;4;7;9;3;17;13;5;ab;19;16;11;10;6;15;18;14
25;0;1;11;ab;7;ab;ab;3;6;8;2;16;12;4;ab;18;15;10;9;5;14;17;13
26;0;1;10;ab;6;ab;ab;3;5;7;2;15;11;4;ab;18;13;9;8;17;14;16;12
27;0;1;9;ab;6;ab;ab;3;5;7;2;15;11;4;ab;18;13;10;8;17;14;16;12
28;0;1;9;ab;6;ab;ab;3;5;7;2;15;11;4;ab;18;13;10;8;17;14;16;12
29;0;1;9;ab;6;ab;ab;3;5;7;2;15;11;4;ab;18;13;10;8;17;14;16;12
30;0;1;9;ab;6;ab;ab;3;5;7;2;15;11;4;ab;18;13;10;8;17;14;16;12
31;0;1;9;ab;6;ab;ab;3;5;7;2;15;11;4;ab;18;13;10;8;17;14;16;12
32;0;1;9;ab;6;ab;ab;3;5;7;2;15;11;4;ab;18;13;10;8;17;14;16;12
33;0;1;9;ab;6;ab;ab;3;5;7;2;15;11;4;ab;18;13;10;8;17;14;16;12
34;0;1;8;ab;5;ab;ab;3;4;6;2;14;10;ab;ab;17;12;9;7;16;13;15;11
35;0;1;8;ab;5;ab;ab;3;4;6;2;15;10;ab;ab;17;12;9;7;16;13;14;11
36;0;1;7;ab;5;ab;ab;3;4;6;2;15;10;ab;ab;17;12;9;8;16;13;14;11
37;0;1;7;ab;5;ab;ab;3;4;6;2;15;10;ab;ab;17;12;9;8;16;13;14;11
38;0;1;6;ab;4;ab;ab;2;3;7;5;15;10;ab;ab;17;12;9;8;16;13;14;11
39;0;1;5;ab;3;ab;ab;2;4;6;7;15;9;ab;ab;17;11;8;13;16;12;14;10
40;0;1;11;ab;3;ab;ab;2;4;5;6;15;7;ab;ab;17;9;12;13;16;10;14;8
41;0;1;10;ab;3;ab;ab;2;4;5;14;15;6;ab;ab;17;8;11;12;16;9;13;7
42;0;1;9;ab;3;ab;ab;2;4;5;14;15;6;ab;ab;17;12;10;11;16;8;13;7
43;0;1;9;ab;3;ab;ab;2;4;5;14;15;6;ab;ab;17;12;10;11;16;8;13;7
44;0;1;8;ab;3;ab;ab;2;4;5;12;15;6;ab;ab;ab;10;9;13;16;7;11;14
45;0;1;8;ab;3;ab;ab;2;4;5;12;13;6;ab;ab;ab;10;9;ab;14;7;11;15
46;0;1;7;ab;3;ab;ab;2;4;5;12;13;6;ab;ab;ab;11;8;ab;14;9;10;15
47;0;1;7;ab;3;ab;ab;2;4;5;11;13;6;ab;ab;ab;12;8;ab;14;9;10;15
48;0;1;6;ab;3;ab;ab;2;4;5;10;12;7;ab;ab;ab;11;8;ab;13;9;15;14
49;0;1;6;ab;2;ab;ab;4;3;5;10;12;7;ab;ab;ab;11;8;ab;13;9;15;14
50;0;1;5;ab;2;ab;ab;4;3;6;10;12;7;ab;ab;ab;11;8;ab;13;9;15;14
51;0;1;5;ab;2;ab;ab;3;4;6;10;12;7;ab;ab;ab;11;8;ab;13;9;15;14
52;0;1;5;ab;2;ab;ab;3;4;6;14;11;7;ab;ab;ab;10;8;ab;12;9;15;13
53;0;1;5;ab;2;ab;ab;3;4;6;14;11;7;ab;ab;ab;10;8;ab;12;9;15;13
54;0;1;5;ab;2;ab;ab;3;4;6;14;11;7;ab;ab;ab;10;8;ab;12;9;15;13
55;0;1;5;ab;2;ab;ab;3;4;6;14;11;7;ab;ab;ab;10;8;ab;12;9;15;13
56;0;1;5;ab;2;ab;ab;3;4;6;14;11;7;ab;ab;ab;10;8;ab;12;9;15;13
57;0;1;5;ab;2;ab;ab;3;4;8;14;11;6;ab;ab;ab;10;7;ab;12;9;15;13
58;0;1;5;ab;2;ab;ab;3;4;10;ab;11;6;ab;ab;ab;9;7;ab;12;8;14;13
59;0;1;5;ab;2;ab;ab;3;4;10;ab;11;6;ab;ab;ab;9;7;ab;12;8;ab;13
60;0;1;5;ab;2;ab;ab;3;4;10;ab;11;6;ab;ab;ab;9;7;ab;12;8;ab;13
61;0;1;5;ab;2;ab;ab;3;4;10;ab;11;6;ab;ab;ab;9;7;ab;12;8;ab;13
62;0;1;5;ab;2;ab;ab;3;4;10;ab;11;6;ab;ab;ab;9;7;ab;12;8;ab;13
63;0;1;5;ab;2;ab;ab;3;4;10;ab;11;6;ab;ab;ab;9;7;ab;12;8;ab;13
64;0;1;5;ab;2;ab;ab;3;4;9;ab;10;6;ab;ab;ab;8;7;ab;11;ab;ab;12
65;0;1;5;ab;2;ab;ab;3;4;9;ab;10;6;ab;ab;ab;8;7;ab;11;ab;ab;12
66;0;1;5;ab;2;ab;ab;3;4;8;ab;10;6;ab;ab;ab;9;7;ab;11;ab;ab;12
