;sc;MSC;COU;BAR;HAK;RSC;IRV;VIL;FRE;TRU;BUT;HER;SAL;DLR;FIS;DIN;HEI;WUR;ALE;ZON;VER;GEN;MAZ
0;0;1;3;2;4;7;10;5;6;8;11;12;9;13;16;19;14;20;15;18;17;21;22
1;0;1;3;2;4;7;10;5;6;8;11;12;9;13;16;19;15;20;14;18;17;21;22
2;0;1;3;2;4;7;10;5;6;8;11;12;9;13;16;19;15;20;14;18;17;21;22
3;0;1;3;2;4;7;10;5;6;8;11;12;9;13;15;19;16;20;14;18;17;21;22
4;0;1;3;2;4;7;10;5;6;8;11;12;9;13;15;19;16;20;14;18;17;21;22
5;0;1;3;2;4;7;10;5;6;8;11;12;9;13;15;19;16;20;14;18;17;21;22
6;0;1;3;2;4;7;10;5;6;8;11;12;9;13;15;19;16;20;14;18;17;21;22
7;0;1;3;2;4;7;10;5;6;8;11;12;9;13;15;19;16;20;14;18;17;21;22
8;0;1;3;2;4;7;10;5;6;8;11;12;9;13;15;19;16;20;14;18;17;21;22
9;0;1;3;2;4;7;10;5;6;8;11;12;9;13;15;19;16;20;14;18;17;21;22
10;0;1;3;2;4;8;10;5;6;7;11;12;9;13;15;19;16;20;14;18;17;21;22
11;0;1;3;2;4;7;11;5;6;8;10;12;9;13;15;19;14;20;18;17;16;21;22
12;0;1;3;2;4;7;11;5;6;8;9;12;10;13;15;19;14;20;18;17;16;21;22
13;0;1;3;2;4;7;11;5;6;8;9;12;10;13;15;19;14;20;18;17;16;21;22
14;0;1;3;2;4;7;11;5;6;8;9;12;10;13;15;19;14;20;18;17;16;21;22
15;0;1;3;2;4;7;11;5;6;8;9;12;10;13;15;19;14;20;18;17;16;21;22
16;0;1;3;2;4;7;11;5;6;8;9;12;10;13;15;18;14;19;17;ab;16;20;21
17;0;1;3;2;4;7;11;5;6;8;9;16;10;12;14;17;13;18;19;ab;15;20;21
18;0;1;3;2;4;7;11;5;6;8;9;21;10;12;15;16;13;17;20;ab;14;18;19
19;0;1;3;2;4;7;11;5;6;8;9;21;10;12;18;14;19;16;20;ab;13;15;17
20;0;1;3;2;4;7;11;5;6;9;8;ab;10;12;16;14;18;20;19;ab;13;15;17
21;0;1;2;3;4;8;10;5;7;11;6;ab;9;12;15;14;17;19;18;ab;13;20;16
22;0;1;2;3;4;10;11;6;9;8;5;ab;7;12;15;14;17;19;18;ab;13;20;16
23;0;1;2;3;4;8;20;5;7;6;9;ab;10;11;13;12;15;17;16;ab;14;18;19
24;0;3;1;2;4;8;20;5;7;6;9;ab;12;13;11;10;15;17;16;ab;14;18;19
25;0;1;2;4;3;8;19;5;7;6;9;ab;12;13;11;10;14;16;15;ab;ab;17;18
26;0;1;2;4;3;8;19;5;7;6;9;ab;12;13;10;11;14;16;15;ab;ab;17;18
27;0;1;2;4;3;8;18;5;7;6;9;ab;11;12;10;13;14;16;15;ab;ab;17;19
28;0;1;2;4;3;8;18;5;7;6;9;ab;11;12;10;13;14;16;15;ab;ab;17;19
29;0;1;2;4;3;8;18;5;7;6;9;ab;11;12;10;13;14;16;15;ab;ab;17;19
30;0;1;2;4;3;8;18;5;7;6;9;ab;11;12;10;13;14;16;15;ab;ab;17;19
31;0;1;2;4;3;8;18;5;7;6;9;ab;11;12;10;13;14;16;15;ab;ab;17;ab
32;0;1;2;4;3;8;18;5;7;6;9;ab;11;12;10;13;14;16;15;ab;ab;17;ab
33;0;1;2;4;3;8;18;5;7;6;9;ab;11;12;10;13;14;16;15;ab;ab;17;ab
34;0;1;2;4;3;8;17;5;7;6;9;ab;11;12;10;13;14;ab;15;ab;ab;16;ab
35;0;1;2;4;3;8;17;5;7;6;9;ab;11;12;10;13;14;ab;15;ab;ab;16;ab
36;0;1;2;4;3;8;17;5;7;6;9;ab;11;12;10;13;14;ab;15;ab;ab;16;ab
37;0;1;2;4;3;8;17;5;7;6;9;ab;11;12;10;13;14;ab;15;ab;ab;16;ab
38;0;1;2;4;3;8;17;5;7;6;9;ab;11;12;10;13;14;ab;15;ab;ab;16;ab
39;0;2;1;4;3;7;17;5;8;6;10;ab;11;12;9;13;14;ab;15;ab;ab;16;ab
40;0;2;1;4;3;7;17;5;9;6;10;ab;11;14;8;12;13;ab;15;ab;ab;16;ab
41;0;2;1;4;3;7;17;5;9;6;10;ab;11;14;8;12;13;ab;15;ab;ab;16;ab
42;0;3;1;2;4;7;17;5;9;6;10;ab;11;14;8;12;13;ab;15;ab;ab;16;ab
43;0;3;1;2;4;5;17;6;8;7;9;ab;11;14;10;12;13;ab;15;ab;ab;16;ab
44;0;2;1;4;3;5;16;6;8;7;9;ab;11;17;10;12;13;ab;14;ab;ab;15;ab
45;0;2;1;4;3;5;15;6;8;7;9;ab;12;ab;10;11;14;ab;13;ab;ab;16;ab
46;0;2;1;4;3;5;14;6;8;7;9;ab;12;ab;10;11;13;ab;15;ab;ab;16;ab
47;0;2;1;4;3;7;14;5;8;6;9;ab;11;ab;10;12;13;ab;15;ab;ab;16;ab
48;0;2;1;4;3;7;14;5;8;6;9;ab;11;ab;10;12;13;ab;15;ab;ab;16;ab
49;0;2;1;4;3;7;14;5;8;6;9;ab;11;ab;10;12;13;ab;15;ab;ab;16;ab
50;0;2;1;4;3;7;14;5;8;6;9;ab;11;ab;10;12;13;ab;15;ab;ab;16;ab
51;0;2;1;4;3;6;14;5;8;7;9;ab;11;ab;10;12;13;ab;15;ab;ab;16;ab
52;0;2;1;4;3;6;14;5;8;7;9;ab;11;ab;10;12;13;ab;15;ab;ab;16;ab
53;0;2;1;4;3;6;14;5;8;7;9;ab;11;ab;10;12;13;ab;15;ab;ab;16;ab
54;0;2;1;4;3;6;12;5;8;7;9;ab;11;ab;10;13;14;ab;15;ab;ab;16;ab
55;0;2;1;4;3;6;12;5;8;7;9;ab;11;ab;10;13;14;ab;15;ab;ab;16;ab
56;0;2;1;4;3;6;12;5;8;7;9;ab;11;ab;10;13;14;ab;15;ab;ab;16;ab
57;0;2;1;4;3;6;12;5;8;7;9;ab;11;ab;10;13;14;ab;15;ab;ab;16;ab
58;0;ab;1;3;2;5;11;4;7;6;8;ab;10;ab;9;12;13;ab;14;ab;ab;15;ab
59;0;ab;1;3;2;5;13;4;7;6;8;ab;10;ab;9;11;12;ab;14;ab;ab;15;ab
60;0;ab;1;3;2;5;12;4;7;6;8;ab;10;ab;9;11;13;ab;14;ab;ab;15;ab
61;0;ab;1;3;2;5;12;4;7;6;8;ab;10;ab;9;11;13;ab;14;ab;ab;15;ab
62;0;ab;1;3;2;5;11;4;7;6;8;ab;10;ab;9;12;13;ab;14;ab;ab;15;ab
63;0;ab;1;3;2;5;11;4;7;6;8;ab;10;ab;9;12;13;ab;14;ab;ab;15;ab
64;0;ab;1;3;2;5;11;4;7;6;8;ab;10;ab;9;12;13;ab;14;ab;ab;15;ab
65;0;ab;1;3;2;5;11;4;7;6;8;ab;10;ab;9;12;13;ab;14;ab;ab;15;ab
66;0;ab;1;3;2;5;11;4;7;6;8;ab;10;ab;9;12;13;ab;14;ab;ab;15;ab
67;0;ab;1;3;2;5;11;4;7;6;8;ab;10;ab;9;12;13;ab;14;ab;ab;15;ab
68;0;ab;1;3;2;5;13;4;7;6;8;ab;10;ab;9;11;12;ab;14;ab;ab;15;ab
69;0;ab;1;3;2;5;13;4;7;6;8;ab;10;ab;9;11;12;ab;14;ab;ab;15;ab
70;0;ab;1;3;2;5;13;4;7;6;8;ab;10;ab;9;11;12;ab;14;ab;ab;15;ab
71;0;ab;1;3;2;5;13;4;7;6;8;ab;10;ab;9;11;12;ab;14;ab;ab;15;ab
