;sc;MSC;MAS;FIS;BAR;ALO;VIL;BUT;RSC;RAI;HEI;MON;WEB;SPE;ALB;MTR;KLI;COU;SAT;MTG;LIU;ROS;TRU
0;1;2;1;4;5;3;6;14;7;ab;ab;ab;ab;ab;15;9;ab;10;11;ab;12;8;13
1;1;2;1;4;5;3;6;15;7;ab;ab;ab;ab;ab;14;9;ab;10;11;ab;12;8;13
2;1;2;1;4;5;3;6;15;7;ab;ab;ab;ab;ab;14;9;ab;10;11;ab;12;8;13
3;1;2;1;4;5;3;6;ab;7;ab;ab;ab;ab;ab;14;9;ab;10;11;ab;12;8;13
4;1;2;1;4;5;3;6;ab;7;ab;ab;ab;ab;ab;14;9;ab;10;11;ab;12;8;13
5;1;2;1;4;5;3;6;ab;7;ab;ab;ab;ab;ab;14;9;ab;10;11;ab;12;8;13
6;0;2;1;4;5;3;7;ab;6;ab;ab;ab;ab;ab;12;13;ab;9;ab;ab;11;8;10
7;0;2;1;4;5;3;7;ab;6;ab;ab;ab;ab;ab;12;13;ab;10;ab;ab;11;8;9
8;0;2;1;4;5;3;7;ab;6;ab;ab;ab;ab;ab;12;13;ab;10;ab;ab;11;8;9
9;0;2;1;4;5;3;7;ab;6;ab;ab;ab;ab;ab;12;ab;ab;10;ab;ab;11;9;8
10;0;2;1;4;5;3;7;ab;6;ab;ab;ab;ab;ab;12;ab;ab;10;ab;ab;11;9;8
11;0;2;1;4;5;3;7;ab;6;ab;ab;ab;ab;ab;12;ab;ab;10;ab;ab;11;9;8
12;0;2;1;4;5;3;7;ab;6;ab;ab;ab;ab;ab;12;ab;ab;10;ab;ab;11;9;8
13;0;2;1;4;5;3;7;ab;6;ab;ab;ab;ab;ab;12;ab;ab;10;ab;ab;11;9;8
14;0;2;1;3;5;4;7;ab;6;ab;ab;ab;ab;ab;12;ab;ab;10;ab;ab;11;9;8
15;0;2;1;3;5;4;7;ab;6;ab;ab;ab;ab;ab;12;ab;ab;10;ab;ab;11;9;8
16;0;2;1;3;5;4;7;ab;6;ab;ab;ab;ab;ab;12;ab;ab;10;ab;ab;11;9;8
17;0;2;1;3;5;4;7;ab;6;ab;ab;ab;ab;ab;12;ab;ab;10;ab;ab;11;9;8
18;0;2;1;3;5;4;7;ab;6;ab;ab;ab;ab;ab;12;ab;ab;10;ab;ab;11;9;8
19;0;2;1;3;5;4;7;ab;6;ab;ab;ab;ab;ab;12;ab;ab;10;ab;ab;11;9;8
20;0;2;1;3;5;4;7;ab;6;ab;ab;ab;ab;ab;12;ab;ab;10;ab;ab;11;9;8
21;0;2;1;3;5;4;7;ab;6;ab;ab;ab;ab;ab;12;ab;ab;10;ab;ab;11;9;8
22;0;2;1;3;5;4;7;ab;6;ab;ab;ab;ab;ab;12;ab;ab;10;ab;ab;11;9;8
23;0;2;1;3;7;4;ab;ab;5;ab;ab;ab;ab;ab;11;ab;ab;9;ab;ab;10;8;6
24;0;2;1;3;7;4;ab;ab;5;ab;ab;ab;ab;ab;11;ab;ab;9;ab;ab;10;8;6
25;0;2;1;3;7;4;ab;ab;5;ab;ab;ab;ab;ab;11;ab;ab;9;ab;ab;10;8;6
26;0;2;1;3;7;4;ab;ab;5;ab;ab;ab;ab;ab;11;ab;ab;9;ab;ab;10;8;6
27;0;2;1;3;7;4;ab;ab;5;ab;ab;ab;ab;ab;11;ab;ab;9;ab;ab;10;8;6
28;0;4;1;6;7;2;ab;ab;3;ab;ab;ab;ab;ab;11;ab;ab;9;ab;ab;10;8;5
29;0;3;2;5;7;1;ab;ab;6;ab;ab;ab;ab;ab;11;ab;ab;9;ab;ab;10;8;4
30;0;1;2;4;7;5;ab;ab;6;ab;ab;ab;ab;ab;11;ab;ab;9;ab;ab;10;8;3
31;0;1;2;4;7;5;ab;ab;6;ab;ab;ab;ab;ab;11;ab;ab;9;ab;ab;10;8;3
32;0;1;2;4;7;5;ab;ab;6;ab;ab;ab;ab;ab;11;ab;ab;9;ab;ab;10;8;3
33;0;1;2;4;7;5;ab;ab;6;ab;ab;ab;ab;ab;11;ab;ab;9;ab;ab;10;8;3
34;0;1;2;4;7;5;ab;ab;6;ab;ab;ab;ab;ab;11;ab;ab;9;ab;ab;10;8;3
35;0;1;2;4;7;5;ab;ab;6;ab;ab;ab;ab;ab;11;ab;ab;9;ab;ab;10;8;3
36;0;1;2;4;7;5;ab;ab;6;ab;ab;ab;ab;ab;11;ab;ab;9;ab;ab;10;8;3
37;0;1;2;4;7;5;ab;ab;6;ab;ab;ab;ab;ab;ab;ab;ab;9;ab;ab;10;8;3
38;0;1;2;3;7;4;ab;ab;5;ab;ab;ab;ab;ab;ab;ab;ab;9;ab;ab;10;8;6
39;0;1;2;3;6;4;ab;ab;5;ab;ab;ab;ab;ab;ab;ab;ab;9;ab;ab;10;8;7
40;0;1;2;3;6;4;ab;ab;5;ab;ab;ab;ab;ab;ab;ab;ab;9;ab;ab;10;8;7
41;0;1;2;3;6;4;ab;ab;5;ab;ab;ab;ab;ab;ab;ab;ab;9;ab;ab;10;8;7
42;0;1;2;3;6;4;ab;ab;5;ab;ab;ab;ab;ab;ab;ab;ab;8;ab;ab;10;9;7
43;0;1;2;3;6;4;ab;ab;5;ab;ab;ab;ab;ab;ab;ab;ab;8;ab;ab;10;9;7
44;0;1;2;3;6;4;ab;ab;5;ab;ab;ab;ab;ab;ab;ab;ab;8;ab;ab;10;9;7
45;0;1;2;3;6;4;ab;ab;5;ab;ab;ab;ab;ab;ab;ab;ab;8;ab;ab;10;9;7
46;0;1;2;3;6;4;ab;ab;5;ab;ab;ab;ab;ab;ab;ab;ab;8;ab;ab;10;9;7
47;0;1;2;3;6;4;ab;ab;5;ab;ab;ab;ab;ab;ab;ab;ab;8;ab;ab;10;9;7
48;0;1;2;3;7;4;ab;ab;5;ab;ab;ab;ab;ab;ab;ab;ab;8;ab;ab;10;9;6
49;0;1;2;3;7;4;ab;ab;5;ab;ab;ab;ab;ab;ab;ab;ab;8;ab;ab;10;9;6
50;0;1;2;3;7;4;ab;ab;5;ab;ab;ab;ab;ab;ab;ab;ab;8;ab;ab;10;9;6
51;0;1;3;2;7;4;ab;ab;5;ab;ab;ab;ab;ab;ab;ab;ab;8;ab;ab;10;9;6
52;0;1;2;4;7;3;ab;ab;6;ab;ab;ab;ab;ab;ab;ab;ab;8;ab;ab;10;9;5
53;0;1;2;4;7;3;ab;ab;6;ab;ab;ab;ab;ab;ab;ab;ab;8;ab;ab;10;9;5
54;0;1;2;3;7;5;ab;ab;6;ab;ab;ab;ab;ab;ab;ab;ab;8;ab;ab;10;9;4
55;0;1;2;3;7;6;ab;ab;5;ab;ab;ab;ab;ab;ab;ab;ab;8;ab;ab;9;10;4
